MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
399,0.959993,0.119451,0.0961472,0.00256951
400,0.958656,0.11263,0.0938083,0.00143619
401,0.958656,0.11263,0.0938083,0.00143619
402,0.956753,0.211043,0.0691558,0.00641159
403,0.962526,0.188611,0.056814,0.00293609
404,0.962526,0.188611,0.056814,0.00293609
405,0.962526,0.188611,0.056814,0.00293609
406,0.963917,0.211324,0.0271503,0.0064775
407,0.966986,0.219941,0.0735896,0.00740808
408,0.962521,0.230028,0.101447,0.0066525
409,0.958562,0.231162,0.135997,0.00252025
410,0.965813,0.235907,0.113496,0.00939256
411,0.965813,0.235907,0.113496,0.00939256
412,0.966753,0.23687,0.0845159,0.00295208
413,0.964076,0.229447,0.110894,0.00724539
414,0.967604,0.142531,0.132261,0.00492181
415,0.967604,0.142531,0.132261,0.00492181
416,0.967604,0.142531,0.132261,0.00492181
417,0.967604,0.142531,0.132261,0.00492181
418,0.963385,0.161369,0.0946242,0.00755601
419,0.960691,0.244251,0.117368,0.00590413
420,0.956436,0.281145,0.178704,0.00252283
421,0.962184,0.340491,0.180614,0.00122447
422,0.966801,0.205505,0.175829,0.00581721
423,0.968752,0.222523,0.204865,0.00691538
424,0.965667,0.242916,0.168646,0.00489262
425,0.96632,0.36125,0.20775,0.00048192
426,0.96632,0.36125,0.20775,0.00048192
427,0.96632,0.36125,0.20775,0.00048192
428,0.966279,0.219787,0.163296,0.00287942
429,0.967861,0.156289,0.176579,0.00703563
430,0.968193,0.217731,0.187868,0.00464497
431,0.969839,0.198005,0.189187,0.00596259
432,0.969839,0.198005,0.189187,0.00596259
433,0.971159,0.172853,0.251953,0.00143942
434,0.971159,0.172853,0.251953,0.00143942
435,0.968263,0.150013,0.244062,0.00692049
436,0.960571,0.268523,0.218671,0.00187076
437,0.964609,0.221091,0.184133,0.00578013
438,0.966962,0.213611,0.133976,0.00382523
439,0.966962,0.213611,0.133976,0.00382523
440,0.969965,0.304969,0.148274,0.00554374
441,0.970717,0.304644,0.0844091,0.0088158
442,0.968687,0.292069,0.116101,0.00591907
443,0.968687,0.292069,0.116101,0.00591907
444,0.967086,0.220587,0.0880472,0.00631062
445,0.969238,0.281956,0.0891716,0.003122
446,0.967288,0.217548,0.129416,0.00323855
447,0.968233,0.246962,0.143679,0.00652083
448,0.960602,0.137061,0.148446,0.00111057
