MDTU,plaq,Re(det),Im(det),link
6241,0.77835,0.734225,0.198369,0.0843266
6242,0.734628,0.683951,0.192889,0.0792729
6243,0.734628,0.683951,0.192889,0.0792729
6244,0.775519,0.734705,0.202397,0.0836713
6245,0.786813,0.750339,0.202387,0.084865
6246,0.786813,0.750339,0.202387,0.084865
6247,0.786813,0.750339,0.202387,0.084865
6248,0.78401,0.751734,0.204361,0.0843591
6249,0.73144,0.692023,0.193716,0.0779977
6250,0.719697,0.660603,0.184808,0.077603
6251,0.745997,0.681001,0.186307,0.0800512
6252,0.710831,0.64206,0.184706,0.076407
6253,0.747194,0.713012,0.198809,0.080378
6254,0.719932,0.691174,0.193856,0.0767845
6255,0.719932,0.691174,0.193856,0.0767845
6256,0.719932,0.691174,0.193856,0.0767845
6257,0.738416,0.725165,0.198834,0.0780146
6258,0.79014,0.815682,0.213989,0.0834484
6259,0.761313,0.766592,0.204753,0.080624
6260,0.761313,0.766592,0.204753,0.080624
6261,0.765607,0.749941,0.20117,0.0812642
6262,0.771456,0.733325,0.199129,0.0826003
6263,0.773439,0.760614,0.20661,0.0830247
6264,0.777022,0.765711,0.207453,0.0831982
6265,0.805332,0.777012,0.210304,0.0873318
6266,0.795276,0.791959,0.213709,0.0852893
6267,0.829541,0.863426,0.223686,0.088522
6268,0.830066,0.879417,0.229656,0.0887514
6269,0.849217,0.937063,0.236766,0.0897696
6270,0.849217,0.937063,0.236766,0.0897696
6271,0.849217,0.937063,0.236766,0.0897696
6272,0.860719,0.932817,0.237171,0.0917348
6273,0.852739,0.925097,0.239391,0.0908735
6274,0.861202,0.894733,0.23085,0.0922629
6275,0.850349,0.877589,0.226417,0.0911887
6276,0.850349,0.877589,0.226417,0.0911887
6277,0.850349,0.877589,0.226417,0.0911887
6278,0.850349,0.877589,0.226417,0.0911887
6279,0.850349,0.877589,0.226417,0.0911887
6280,0.850349,0.877589,0.226417,0.0911887
6281,0.850349,0.877589,0.226417,0.0911887
6282,0.832262,0.860645,0.225972,0.0894901
6283,0.832262,0.860645,0.225972,0.0894901
6284,0.822794,0.822856,0.220002,0.08903
6285,0.825783,0.810918,0.215819,0.0894844
6286,0.831642,0.826922,0.22051,0.0900676
6287,0.852711,0.887745,0.232415,0.0917881
6288,0.861922,0.877372,0.227176,0.092791
6289,0.887034,0.916734,0.233322,0.0954144
6290,0.836892,0.831538,0.216498,0.0899935
6291,0.836892,0.831538,0.216498,0.0899935
6292,0.836892,0.831538,0.216498,0.0899935
6293,0.821397,0.805393,0.212347,0.0885388
6294,0.854948,0.882576,0.228392,0.091835
6295,0.87973,0.871745,0.223628,0.0952706
6296,0.850365,0.839164,0.22122,0.0922613
6297,0.850365,0.839164,0.22122,0.0922613
6298,0.873631,0.906004,0.232273,0.0941722
6299,0.873631,0.906004,0.232273,0.0941722
6300,0.899841,0.961786,0.24367,0.0966819
6301,0.872452,0.997372,0.252185,0.0926321
6302,0.872452,0.997372,0.252185,0.0926321
6303,0.897563,1.01677,0.253818,0.0956693
6304,0.887139,0.995654,0.251343,0.0946433
6305,0.887139,0.995654,0.251343,0.0946433
6306,0.887139,0.995654,0.251343,0.0946433
6307,0.899917,1.00725,0.25255,0.0962291
6308,0.907157,0.994347,0.246307,0.0971877
6309,0.890248,0.963018,0.241635,0.0953641
6310,0.890248,0.963018,0.241635,0.0953641
6311,0.890248,0.963018,0.241635,0.0953641
6312,0.893853,0.94886,0.235466,0.0954995
6313,0.876472,0.920854,0.22933,0.0935636
6314,0.882658,0.957598,0.235182,0.0941258
6315,0.888744,0.94777,0.233814,0.0949105
6316,0.840334,0.899192,0.227656,0.0891873
6317,0.822424,0.863997,0.221396,0.08769
6318,0.822424,0.863997,0.221396,0.08769
6319,0.803613,0.814364,0.213829,0.0860474
