MDTU,min_width,max_width
197,0.0315772,0.022493
198,0.031629,0.0220045
199,0.0312874,0.0218322
200,0.031803,0.0224543
201,0.031803,0.0224543
202,0.031803,0.0224543
203,0.031803,0.0224543
204,0.032282,0.0230063
205,0.0317452,0.0222745
206,0.0312151,0.0218425
207,0.0312151,0.0218425
208,0.0312151,0.0218425
209,0.031485,0.0223904
210,0.0321242,0.0225205
211,0.0316053,0.0221855
212,0.0320575,0.0229257
213,0.0320575,0.0229257
214,0.0319757,0.0229221
215,0.0335411,0.0239362
216,0.0329567,0.023524
217,0.0328392,0.022901
218,0.0332243,0.0236363
219,0.0332243,0.0236363
220,0.0333467,0.0236899
221,0.0326291,0.0230906
222,0.0327206,0.0228522
223,0.0327206,0.0228522
224,0.0327206,0.0228522
225,0.0327206,0.0228522
226,0.0327206,0.0228522
227,0.032599,0.0226989
228,0.0333866,0.0238334
229,0.0333866,0.0238334
230,0.0333916,0.0234071
231,0.032842,0.0229452
232,0.0327338,0.0228481
233,0.0327557,0.0230982
234,0.0326909,0.0231493
235,0.0326909,0.0231493
236,0.0326227,0.0227304
237,0.0326227,0.0227304
238,0.03256,0.0227879
239,0.03256,0.0227879
240,0.03256,0.0227879
241,0.0325254,0.0231362
242,0.0325254,0.0231362
243,0.0330619,0.0234233
244,0.0324792,0.0230998
245,0.0318904,0.0226951
246,0.0318904,0.0226951
247,0.0318904,0.0226951
248,0.0320489,0.0230226
249,0.0320489,0.0230226
250,0.0320489,0.0230226
251,0.0328368,0.0235887
252,0.0328368,0.0235887
253,0.0328368,0.0235887
254,0.0327527,0.0236709
255,0.0330931,0.0235469
256,0.0330931,0.0235469
257,0.0330931,0.0235469
258,0.0334404,0.0234533
259,0.0340438,0.0240317
260,0.0334965,0.0239259
261,0.0334685,0.0237701
262,0.0330268,0.023571
263,0.0330268,0.023571
264,0.0329341,0.0235054
265,0.0329341,0.0235054
266,0.0333967,0.023709
267,0.033159,0.0231439
268,0.0329826,0.0235904
269,0.0324661,0.0237613
270,0.0328133,0.0237484
271,0.0322627,0.0232694
272,0.0325097,0.0230455
273,0.0333143,0.0237901
274,0.0333143,0.0237901
275,0.0339371,0.0242573
276,0.0335905,0.0242069
277,0.0335905,0.0242069
278,0.0335905,0.0242069
279,0.0335094,0.0236504
280,0.0333132,0.0238009
281,0.0333132,0.0238009
282,0.0342789,0.0243017
283,0.0333553,0.0237723
284,0.0337954,0.0239969
285,0.0331679,0.0238845
286,0.0328316,0.0234819
287,0.0328409,0.0237318
288,0.0328409,0.0237318
289,0.033973,0.0243049
290,0.0341152,0.0242912
291,0.0341242,0.0242626
292,0.0335408,0.0243096
293,0.0349127,0.0254724
294,0.035544,0.0257338
295,0.0339752,0.0246977
296,0.0342858,0.0247765
297,0.0342858,0.0247765
298,0.0340576,0.0246994
299,0.0338315,0.0242572
300,0.0338315,0.0242572
301,0.034212,0.0246556
302,0.034212,0.0246556
303,0.0346433,0.0249256
304,0.0346433,0.0249256
305,0.0346433,0.0249256
306,0.0346433,0.0249256
307,0.0344091,0.0248274
308,0.0344091,0.0248274
309,0.0342258,0.0246818
310,0.0346021,0.024225
311,0.0343231,0.0245779
312,0.0343231,0.0245779
313,0.0343231,0.0245779
314,0.0337689,0.0242059
315,0.0337689,0.0242059
316,0.0337689,0.0242059
317,0.0350922,0.0247672
318,0.0350922,0.0247672
319,0.0352742,0.0249323
320,0.0356219,0.0258169
321,0.0354808,0.0251858
322,0.0354808,0.0251858
323,0.0360675,0.0259649
324,0.0359356,0.0253759
325,0.0347256,0.0250097
326,0.0347256,0.0250097
327,0.0347457,0.0244317
328,0.0347457,0.0244317
329,0.0347457,0.0244317
330,0.0342048,0.023998
331,0.0343376,0.0242642
332,0.0343376,0.0242642
333,0.0340043,0.0243309
334,0.0340043,0.0243309
335,0.0342569,0.0245086
336,0.0342569,0.0245086
337,0.0342569,0.0245086
338,0.0342569,0.0245086
339,0.0345153,0.0246465
340,0.0345153,0.0246465
341,0.0350923,0.0249104
342,0.0342467,0.0242502
343,0.0342467,0.0242502
344,0.0348755,0.0246795
345,0.0351955,0.0249663
346,0.0335123,0.0242018
347,0.0338855,0.0239953
348,0.0328416,0.0235181
349,0.0328416,0.0235181
350,0.0328416,0.0235181
351,0.0328416,0.0235181
352,0.0335858,0.0236914
353,0.0335858,0.0236914
354,0.0335858,0.0236914
355,0.0335858,0.0236914
356,0.0335858,0.0236914
357,0.0332416,0.0238092
358,0.0334201,0.0239226
359,0.0340372,0.0243088
360,0.0335851,0.0240438
