t,e^(-dS)
1202,0.161218
1203,0.479362
1204,1.60785
1205,1.00863
1206,1.80543
1207,1.27201
1208,0.490515
1209,0.166627
1210,0.257947
1211,0.380488
1212,0.42312
1213,0.649015
1214,0.254616
1215,0.274721
1216,0.363855
1217,0.12209
1218,0.357364
1219,0.844171
1220,0.525555
1221,0.437797
1222,0.150619
1223,0.442728
1224,0.138069
1225,0.16563
1226,1.21811
1227,1.3868
1228,1.29537
1229,0.253346
1230,0.207837
1231,2.63004
1232,5.50139
1233,0.747142
1234,0.674219
1235,0.710846
1236,1.73551
1237,0.67726
1238,0.315688
1239,0.463059
1240,0.403653
1241,0.590196
1242,0.40718
1243,0.275546
1244,1.83198
1245,0.63916
1246,1.51922
1247,0.387942
1248,0.202706
1249,0.772672
1250,0.667377
1251,1.13485
1252,1.29953
1253,2.04112
1254,0.454753
1255,1.62547
1256,0.205358
1257,0.766516
1258,0.318224
1259,0.723178
1260,0.653508
1261,0.691287
1262,3.39736
1263,0.387825
1264,1.58439
1265,1.58423
1266,0.566148
1267,1.09743
1268,2.78153
1269,1.03005
1270,2.16582
1271,0.287941
1272,0.478547
1273,0.637883
1274,0.934475
1275,0.445348
1276,1.7222
1277,3.16452
1278,3.8076
1279,0.290254
1280,0.618536
1281,1.25797
1282,0.42021
1283,0.319499
1284,0.599536
1285,2.09866
1286,1.73777
1287,1.06292
1288,1.25596
1289,0.500774
1290,0.933327
1291,1.24408
1292,0.214596
1293,0.368432
1294,0.262895
1295,1.7855
1296,0.91566
1297,2.25151
1298,0.371354
1299,0.437053
1300,1.85003
1301,0.34611
1302,1.88137
1303,0.188435
1304,1.13508
1305,0.638138
1306,0.55527
1307,1.4421
1308,0.654555
1309,0.225824
1310,0.123193
1311,0.540587
1312,0.211612
1313,0.205564
1314,0.179784
1315,0.577816
1316,1.91248
1317,0.622943
1318,0.697258
1319,2.93292
1320,1.27456
1321,1.24782
1322,0.94433
1323,0.435788
1324,0.271173
1325,0.687633
1326,2.2594
1327,3.65465
1328,1.64263
1329,0.85959
1330,0.731031
1331,0.969757
1332,0.2608
1333,0.271987
1334,1.22654
1335,0.227183
1336,0.588428
1337,1.23355
1338,0.289384
1339,0.541723
1340,0.806945
1341,0.467807
1342,0.470058
1343,0.321744
1344,0.514943
1345,1.84559
1346,0.292
1347,0.548812
1348,1.05687
1349,0.24099
1350,0.380032
1351,0.273077
1352,1.49063
1353,0.136559
1354,0.314743
1355,2.0346
1356,0.122824
1357,1.67951
1358,0.112478
1359,2.45985
1360,0.940804
1361,0.574015
1362,0.503989
1363,0.107206
1364,0.68901
1365,0.540047
1366,0.871709
1367,0.179245
1368,0.645971
1369,0.475827
1370,0.659351
1371,0.455345
1372,0.779502
1373,0.53816
1374,0.65142
1375,0.0706512
1376,0.527556
1377,2.67915
1378,0.315373
1379,1.76174
1380,0.274721
1381,0.998253
1382,0.845523
1383,0.396254
1384,0.55217
1385,1.33016
1386,1.10034
1387,0.236691
1388,0.907828
1389,1.00598
1390,0.604412
1391,0.357007
1392,0.652986
1393,0.70321
1394,2.14063
1395,0.829112
1396,2.43318
1397,0.659087
1398,1.11974
1399,0.258205
1400,3.24787
1401,1.41213
1402,1.09838
1403,1.00795
1404,0.300893
1405,0.539399
1406,1.05113
1407,3.98286
1408,3.6693
1409,0.145293
1410,0.41412
1411,0.395423
1412,0.954374
1413,4.3189
1414,0.320139
1415,0.480369
1416,0.437053
1417,0.690389
1418,6.72613
1419,6.44304
1420,0.124183
1421,0.642236
1422,8.45705
1423,1.27418
1424,1.70455
1425,1.43104
1426,0.568758
1427,0.302099
1428,0.395858
1429,3.29366
1430,0.197109
1431,1.74945
1432,0.844678
1433,0.23504
1434,0.455892
1435,0.632484
1436,1.31298
1437,1.6346
1438,1.15743
1439,0.340616
1440,0.740596
1441,0.749312
1442,1.15408
1443,1.07032
1444,1.14935
1445,0.304221
1446,1.34528
1447,0.562874
1448,2.0532
1449,0.567962
1450,0.219808
1451,1.09664
1452,1.09863
1453,0.496486
1454,0.151374
1455,0.741189
1456,1.17951
1457,1.27278
1458,0.527345
1459,0.4347
1460,0.107744
1461,0.510278
1462,0.482825
1463,1.90847
1464,0.792867
1465,0.800035
1466,0.409999
1467,0.7719
1468,0.621761
1469,1.06876
1470,0.38389
1471,1.15223
1472,2.7004
1473,2.27232
1474,1.16242
1475,0.19398
1476,1.86731
1477,0.13173
1478,0.172217
1479,0.428057
1480,1.54095
1481,0.378628
1482,0.575912
1483,1.21458
1484,1.78497
1485,0.44517
1486,0.400957
1487,0.839457
1488,2.23044
1489,1.39139
1490,0.357007
1491,0.427329
1492,1.54435
1493,1.6048
1494,1.85299
1495,0.375799
1496,0.751263
1497,0.396611
1498,2.22043
1499,0.463523
1500,1.89591
1501,0.834102
1502,0.247091
1503,1.72599
1504,0.816605
1505,2.03562
1506,0.476113
1507,0.366777
1508,0.848487
1509,0.771514
1510,0.484228
1511,1.22434
1512,0.386702
1513,0.519806
1514,2.21289
1515,1.00108
1516,0.75707
1517,0.219588
1518,0.612198
1519,0.0975881
1520,1.03508
1521,0.303613
1522,0.787021
1523,0.4949
1524,0.395462
1525,0.897089
1526,0.411725
1527,0.437491
1528,0.571038
1529,0.438147
1530,0.1585
1531,0.778879
1532,0.284222
1533,2.29607
1534,0.185074
1535,0.863208
1536,1.35216
1537,2.15201
1538,0.459508
1539,0.924382
1540,1.29188
1541,1.09095
1542,0.760864
1543,0.516025
1544,0.257947
1545,0.465287
1546,0.299692
1547,0.990428
1548,1.64592
1549,0.443525
1550,0.496933
1551,0.473975
1552,0.218712
1553,1.5944
1554,0.758358
1555,0.751413
1556,1.71893
1557,0.664646
1558,1.22238
1559,0.597979
1560,1.49197
1561,0.787415
1562,0.718564
1563,2.34926
1564,1.05774
1565,3.12364
1566,0.0573834
1567,1.44167
1568,0.679567
1569,0.412384
1570,0.312235
1571,0.711557
1572,0.585259
1573,0.863553
1574,0.111025
1575,1.91554
1576,1.2322
1577,1.57886
1578,0.204538
1579,0.224473
1580,1.16883
1581,0.52461
1582,1.71292
1583,0.161864
1584,2.26053
1585,0.915715
1586,0.335545
1587,0.538537
1588,1.49123
1589,1.929
1590,0.363491
1591,1.29563
1592,0.526976
1593,0.70321
1594,1.44947
1595,0.724553
1596,0.355938
1597,0.969786
1598,1.04825
1599,1.16439
1600,0.691633
1601,0.111025
1602,1.86713
1603,3.1393
1604,0.263158
1605,0.336216
1606,0.876078
1607,0.324977
1608,0.373103
1609,0.53569
1610,0.323033
1611,2.07529
1612,0.489241
1613,0.945152
1614,1.38002
1615,0.83152
1616,0.92002
1617,1.57114
1618,1.94313
1619,0.466732
1620,1.47403
1621,0.620022
1622,1.63591
1623,2.95648
1624,1.15258
1625,1.11371
1626,0.827704
1627,0.0695298
1628,0.966581
1629,0.327915
1630,0.364948
1631,0.266335
1632,1.23862
1633,1.22262
1634,3.27069
1635,0.359515
1636,0.809936
1637,1.12569
1638,0.9954
1639,0.157867
1640,0.16696
1641,1.28969
1642,1.47506
1643,1.2507
1644,0.150469
1645,1.08624
1646,0.143848
1647,0.695447
1648,0.37825
1649,0.662656
1650,0.423797
1651,0.680655
1652,0.762312
1653,0.821273
1654,0.358438
1655,0.622756
1656,0.918972
1657,0.209088
1658,1.66396
1659,1.82778
1660,0.511402
1661,0.25487
1662,0.318861
1663,0.947802
1664,1.11127
1665,0.203112
1666,0.825802
1667,0.16646
1668,1.78944
1669,2.45739
1670,0.251579
1671,0.201695
1672,0.939404
1673,0.441137
1674,0.289095
1675,0.140436
1676,0.187683
1677,0.858645
1678,0.167629
1679,0.992418
1680,0.712625
1681,0.292878
1682,0.511095
1683,1.1336
1684,0.338917
1685,1.29305
1686,1.03411
1687,0.56417
1688,1.13769
1689,2.09133
1690,1.3291
1691,0.129769
1692,0.331542
1693,1.43649
1694,0.866494
1695,2.56152
1696,0.956897
1697,0.343009
1698,1.19674
1699,0.967964
1700,0.403613
1701,2.72918
1702,0.373663
1703,0.556883
1704,0.652072
1705,0.203112
1706,0.235982
1707,1.56988
1708,2.4801
1709,1.36097
1710,4.7209
1711,0.205564
1712,0.284222
1713,2.56767
1714,0.474687
1715,0.289964
1716,1.10107
1717,0.901586
1718,0.375611
1719,0.317588
1720,0.521733
1721,0.385274
1722,1.64395
1723,0.378628
1724,0.365313
1725,1.91957
1726,0.837864
1727,2.53679
1728,0.714838
1729,0.385313
1730,0.397087
1731,0.363128
1732,5.07842
1733,0.378174
1734,1.57098
1735,0.637182
1736,0.588723
1737,0.263421
1738,0.354162
1739,0.553718
1740,1.44167
1741,0.0583089
1742,1.71224
1743,0.882056
1744,1.08088
1745,1.88967
1746,2.30735
1747,0.656653
1748,1.32657
1749,0.837277
1750,0.329559
1751,2.75385
1752,0.232701
1753,0.962299
1754,0.960799
1755,0.615944
