MDTU,plaq_ss,plaq_st
626,0.94493,1.02792
627,0.94493,1.02792
628,0.944438,1.02872
629,0.938291,1.03402
630,0.938,1.04218
631,0.937764,1.04139
632,0.942342,1.03902
633,0.940746,1.04159
634,0.947576,1.04112
635,0.947576,1.04112
636,0.947735,1.04726
637,0.945561,1.04264
638,0.945927,1.04879
639,0.945927,1.04879
640,0.946961,1.04252
641,0.948997,1.04502
642,0.948859,1.05387
643,0.948859,1.05387
644,0.95621,1.04704
645,0.959851,1.05056
646,0.95849,1.04994
647,0.954082,1.04795
648,0.960759,1.04811
649,0.9597,1.04752
650,0.9597,1.04752
651,0.961926,1.05149
652,0.961926,1.05149
653,0.954494,1.04948
654,0.954494,1.04948
655,0.956097,1.05155
656,0.956097,1.05155
657,0.959703,1.04851
658,0.959703,1.04851
659,0.963155,1.04527
660,0.961883,1.04408
661,0.957729,1.05007
662,0.957729,1.05007
663,0.956776,1.04779
664,0.956776,1.04779
665,0.95674,1.04804
666,0.957213,1.04541
667,0.955665,1.05079
668,0.955665,1.05079
669,0.955665,1.05079
670,0.953978,1.0516
671,0.953978,1.0516
672,0.953978,1.0516
673,0.946805,1.04899
674,0.946805,1.04899
675,0.947242,1.05896
676,0.946374,1.06245
677,0.947608,1.05977
678,0.947608,1.05977
679,0.944788,1.05274
680,0.947727,1.0564
681,0.947727,1.0564
682,0.951261,1.05471
683,0.955635,1.0612
684,0.955635,1.0612
685,0.956379,1.06486
686,0.956379,1.06486
687,0.957328,1.06279
688,0.958306,1.07271
689,0.952282,1.06595
690,0.956084,1.06851
691,0.956084,1.06851
692,0.956084,1.06851
693,0.959465,1.07316
694,0.959465,1.07316
695,0.959465,1.07316
696,0.95697,1.06994
697,0.95697,1.06994
698,0.956807,1.06651
699,0.959207,1.06786
700,0.959207,1.06786
701,0.960879,1.07103
702,0.960879,1.07103
703,0.960879,1.07103
704,0.970532,1.07488
705,0.96558,1.07376
706,0.958782,1.0718
707,0.963062,1.06437
708,0.959874,1.05734
709,0.959874,1.05734
710,0.961806,1.0632
711,0.968734,1.06276
712,0.966526,1.06402
713,0.962079,1.06132
714,0.966706,1.0651
715,0.964184,1.0595
716,0.964184,1.0595
717,0.960382,1.05837
718,0.958771,1.06109
719,0.958174,1.06262
720,0.957505,1.05739
721,0.961793,1.05573
722,0.964295,1.0563
723,0.963131,1.06382
724,0.969496,1.06127
725,0.969496,1.06127
726,0.969496,1.06127
727,0.9655,1.06185
728,0.958408,1.06206
729,0.957588,1.06358
730,0.956281,1.06375
731,0.952814,1.06304
732,0.951335,1.06111
733,0.951335,1.06111
734,0.950673,1.06591
735,0.950673,1.06591
736,0.950673,1.06591
737,0.950673,1.06591
738,0.955407,1.06318
739,0.955407,1.06318
740,0.955407,1.06318
741,0.949762,1.05703
742,0.95305,1.06274
743,0.95305,1.06274
744,0.95305,1.06274
745,0.956337,1.05967
746,0.95769,1.06506
747,0.954189,1.06152
748,0.953655,1.07112
749,0.958107,1.06383
750,0.953599,1.06263
751,0.954338,1.06545
752,0.953878,1.06155
753,0.957524,1.06838
754,0.957246,1.07091
755,0.957246,1.07091
756,0.957721,1.07496
757,0.957721,1.07496
758,0.960007,1.07341
759,0.957171,1.0727
