MDTU,min_min,min_max,max_min,max_max5
321,-0.41907,-0.0346105,0.0769412,0.296748
322,-0.410399,-0.0305899,0.0647573,0.310662
323,-0.410399,-0.0305899,0.0647573,0.310662
324,-0.425806,-0.0187131,0.0527402,0.310139
325,-0.425806,-0.0187131,0.0527402,0.310139
326,-0.43774,-0.0277794,0.0684938,0.299037
327,-0.384864,-0.0287946,0.076525,0.3159
328,-0.407105,-0.0333705,0.0725022,0.314939
329,-0.397449,-0.0351905,0.0753435,0.311776
330,-0.410063,-0.0208749,0.0633552,0.307799
331,-0.410063,-0.0208749,0.0633552,0.307799
332,-0.410063,-0.0208749,0.0633552,0.307799
333,-0.410063,-0.0208749,0.0633552,0.307799
334,-0.410063,-0.0208749,0.0633552,0.307799
335,-0.432522,-0.0247829,0.0680537,0.303538
336,-0.405454,-0.0274882,0.0617527,0.308323
337,-0.432075,-0.0129397,0.0609567,0.315649
338,-0.419476,-0.0227389,0.0691903,0.323598
339,-0.419476,-0.0227389,0.0691903,0.323598
340,-0.400418,-0.015387,0.0658842,0.314151
341,-0.400418,-0.015387,0.0658842,0.314151
342,-0.390224,-0.0168901,0.054802,0.31902
343,-0.390224,-0.0168901,0.054802,0.31902
344,-0.416784,-0.00964108,0.0626035,0.3082
345,-0.422819,0.00829951,0.0652489,0.310799
346,-0.419738,-0.0204859,0.0551192,0.30561
347,-0.401157,-0.0138061,0.0603007,0.317168
348,-0.402952,-0.0100096,0.0647013,0.310014
349,-0.421381,-0.0147062,0.056922,0.330087
350,-0.421381,-0.0147062,0.056922,0.330087
351,-0.423071,-0.0151954,0.0688129,0.31021
352,-0.39395,-0.0121864,0.0650282,0.30926
353,-0.422774,-0.0222536,0.0677004,0.303421
354,-0.422774,-0.0222536,0.0677004,0.303421
355,-0.408984,-0.0262627,0.0610128,0.310356
356,-0.438507,-0.0164446,0.0624123,0.333322
357,-0.406033,-0.0156295,0.0760387,0.30369
358,-0.420632,-0.0228845,0.0722486,0.307127
359,-0.399082,-0.0185038,0.0710396,0.313213
360,-0.399082,-0.0185038,0.0710396,0.313213
361,-0.439051,-0.0276866,0.0683478,0.32497
362,-0.390828,-0.0242435,0.072737,0.309423
363,-0.383465,-0.012349,0.073135,0.303247
364,-0.383465,-0.012349,0.073135,0.303247
365,-0.387989,-0.0231138,0.0690979,0.305541
