MDTU,S_F
1117,1.0083e-05
1118,1.01542e-05
1119,1.01495e-05
1120,1.01361e-05
1121,1.01145e-05
1122,1.01145e-05
1123,1.01145e-05
1124,1.01901e-05
1125,1.02061e-05
1126,1.02061e-05
1127,1.01876e-05
1128,1.00706e-05
1129,1.01234e-05
1130,1.00556e-05
1131,1.00556e-05
1132,1.00556e-05
1133,1.01227e-05
1134,1.01227e-05
1135,1.0039e-05
1136,1.0039e-05
1137,1.0039e-05
1138,9.95015e-06
1139,9.95015e-06
1140,1.01206e-05
1141,1.00215e-05
1142,1.0059e-05
1143,1.0059e-05
1144,1.00871e-05
1145,1.00871e-05
1146,1.00871e-05
1147,1.01504e-05
1148,1.01504e-05
1149,1.01504e-05
1150,1.02296e-05
1151,1.02296e-05
1152,1.02296e-05
1153,1.02296e-05
1154,1.01509e-05
1155,1.00959e-05
1156,1.00959e-05
1157,1.00959e-05
1158,1.00959e-05
1159,1.01129e-05
1160,1.0128e-05
1161,1.03222e-05
1162,1.03259e-05
1163,1.03259e-05
1164,1.02683e-05
1165,1.02617e-05
1166,1.03131e-05
1167,1.03416e-05
1168,1.03416e-05
1169,1.01066e-05
1170,1.01775e-05
1171,1.03047e-05
1172,1.03942e-05
1173,1.03942e-05
1174,1.03942e-05
1175,1.03942e-05
1176,1.04377e-05
1177,1.02688e-05
1178,1.02464e-05
1179,1.01085e-05
1180,1.0352e-05
1181,1.00692e-05
1182,1.01774e-05
1183,1.02687e-05
1184,1.02538e-05
1185,1.02538e-05
1186,1.02538e-05
1187,1.02546e-05
1188,1.02546e-05
1189,1.02546e-05
1190,1.02546e-05
1191,1.0345e-05
1192,1.03513e-05
1193,1.02029e-05
1194,1.02029e-05
1195,1.01692e-05
1196,1.01818e-05
1197,1.01818e-05
1198,1.01818e-05
1199,1.01818e-05
1200,1.01818e-05
1201,1.01137e-05
1202,1.01708e-05
1203,1.02371e-05
1204,1.02371e-05
1205,1.03941e-05
1206,1.05353e-05
1207,1.0337e-05
1208,1.0337e-05
1209,1.02826e-05
1210,1.01495e-05
1211,1.02332e-05
1212,1.01339e-05
1213,1.00742e-05
1214,1.00742e-05
1215,1.03048e-05
1216,1.03048e-05
1217,1.02199e-05
1218,1.02199e-05
1219,1.02748e-05
1220,1.02748e-05
1221,1.02748e-05
1222,1.05282e-05
1223,1.05282e-05
1224,1.04158e-05
1225,1.05626e-05
1226,1.05626e-05
1227,1.05001e-05
1228,1.03562e-05
1229,1.03562e-05
1230,1.03362e-05
1231,1.03362e-05
1232,1.05607e-05
1233,1.04063e-05
1234,1.04063e-05
1235,1.04063e-05
1236,1.04063e-05
1237,1.04063e-05
1238,1.04063e-05
1239,1.03646e-05
1240,1.03646e-05
1241,1.05315e-05
1242,1.06318e-05
1243,1.05172e-05
1244,1.03022e-05
1245,1.03022e-05
1246,1.02353e-05
1247,1.02126e-05
1248,1.02129e-05
1249,1.02129e-05
1250,1.01191e-05
1251,1.00741e-05
1252,1.00128e-05
1253,1.02463e-05
1254,1.02463e-05
1255,1.02463e-05
1256,1.02463e-05
1257,1.02463e-05
1258,1.02217e-05
1259,1.02217e-05
1260,1.02722e-05
1261,1.01308e-05
1262,1.01308e-05
1263,1.01314e-05
1264,1.0173e-05
1265,1.01302e-05
1266,1.01448e-05
1267,9.94234e-06
1268,9.94234e-06
1269,9.94234e-06
1270,1.00432e-05
1271,1.00432e-05
1272,9.88556e-06
1273,1.01184e-05
1274,9.94601e-06
1275,9.97644e-06
1276,9.94747e-06
1277,9.94747e-06
1278,9.86078e-06
1279,9.87892e-06
1280,1.00237e-05
1281,1.00237e-05
1282,1.00237e-05
1283,1.00237e-05
1284,1.00842e-05
1285,1.01116e-05
1286,1.01116e-05
1287,1.00134e-05
1288,1.00134e-05
1289,9.99491e-06
1290,9.99491e-06
1291,9.98499e-06
1292,9.98499e-06
