MDTU,link
1821,1.01737
1822,1.01737
1823,1.01837
1824,1.01784
1825,1.01784
1826,1.01815
1827,1.0188
1828,1.01814
1829,1.01814
1830,1.01928
1831,1.01928
1832,1.0203
1833,1.02016
1834,1.02016
1835,1.02016
1836,1.02016
1837,1.02016
1838,1.02072
1839,1.01901
1840,1.01901
1841,1.01901
1842,1.01901
1843,1.0187
1844,1.01643
1845,1.01613
1846,1.0172
1847,1.01957
1848,1.01901
1849,1.01901
1850,1.01811
1851,1.01811
1852,1.01811
1853,1.01811
1854,1.01803
1855,1.01803
1856,1.01686
1857,1.01686
1858,1.01686
1859,1.01766
1860,1.01891
1861,1.01795
1862,1.01681
1863,1.01717
1864,1.01717
1865,1.01583
1866,1.01583
1867,1.01583
1868,1.01556
1869,1.01505
1870,1.01624
1871,1.01626
1872,1.01795
1873,1.01795
