ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
-0.0042941,null,null,null,-0.00322289
0.988424,-0.0129643,null,null,null
-0.353451,null,0.307551,null,null
0.187172,null,null,0.457679,null
-0.000173151,null,null,null,-0.000541561
0.988096,-0.0126404,null,null,null
-0.357422,null,0.374248,null,null
0.251139,null,null,0.383006,null
-0.00752515,null,null,null,0.00244877
0.988096,-0.0126404,null,null,null
-0.357422,null,0.374248,null,null
0.251139,null,null,0.383006,null
-0.00752515,null,null,null,0.00244877
0.987719,-0.0163449,null,null,null
-0.337464,null,0.369819,null,null
0.238005,null,null,0.378315,null
-0.00235884,null,null,null,0.00297794
0.986123,-0.0168345,null,null,null
-0.302005,null,0.358343,null,null
0.224541,null,null,0.450802,null
0.00128794,null,null,null,0.00319281
0.986123,-0.0168345,null,null,null
-0.302005,null,0.358343,null,null
0.224541,null,null,0.450802,null
0.00128794,null,null,null,0.00319281
0.981483,-0.0173015,null,null,null
-0.214425,null,0.348119,null,null
0.265035,null,null,0.481244,null
0.00123966,null,null,null,0.00105338
0.981483,-0.0173015,null,null,null
-0.214425,null,0.348119,null,null
0.265035,null,null,0.481244,null
0.00123966,null,null,null,0.00105338
0.98452,-0.0195286,null,null,null
-0.216994,null,0.371335,null,null
0.226326,null,null,0.532755,null
-0.000140413,null,null,null,0.00319696
0.985801,-0.0187631,null,null,null
-0.377156,null,0.301695,null,null
0.242395,null,null,0.575963,null
0.000717525,null,null,null,-0.000162443
0.989464,-0.0160127,null,null,null
-0.3556,null,0.337286,null,null
0.264636,null,null,0.625346,null
0.000678404,null,null,null,3.90646e-05
0.986069,-0.014987,null,null,null
-0.461282,null,0.356295,null,null
0.334839,null,null,0.513045,null
0.00236794,null,null,null,0.00492994
0.988857,-0.0145119,null,null,null
-0.309985,null,0.304372,null,null
0.350526,null,null,0.525722,null
0.00285695,null,null,null,-0.00287045
0.988857,-0.0145119,null,null,null
-0.309985,null,0.304372,null,null
0.350526,null,null,0.525722,null
0.00285695,null,null,null,-0.00287045
0.988857,-0.0145119,null,null,null
-0.309985,null,0.304372,null,null
0.350526,null,null,0.525722,null
0.00285695,null,null,null,-0.00287045
0.987529,-0.0203958,null,null,null
-0.309999,null,0.229089,null,null
0.409335,null,null,0.519404,null
0.00092791,null,null,null,-0.00066756
0.987529,-0.0203958,null,null,null
-0.309999,null,0.229089,null,null
0.409335,null,null,0.519404,null
0.00092791,null,null,null,-0.00066756
0.988154,-0.0209281,null,null,null
-0.36106,null,0.113199,null,null
0.408913,null,null,0.496584,null
-0.00168151,null,null,null,0.00482445
0.989299,-0.0250519,null,null,null
-0.314358,null,0.176915,null,null
0.403889,null,null,0.496266,null
0.00314088,null,null,null,0.000167079
0.991128,-0.0274705,null,null,null
-0.258483,null,0.11615,null,null
0.305542,null,null,0.452499,null
0.00347331,null,null,null,-0.000630241
0.989097,-0.0254804,null,null,null
-0.326219,null,0.191897,null,null
0.291063,null,null,0.465836,null
0.00361562,null,null,null,0.00196511
0.985999,-0.0220294,null,null,null
-0.36878,null,0.178546,null,null
0.357985,null,null,0.340539,null
0.00022322,null,null,null,-0.00288073
