MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
414,0.992903,0.395576,0.327619,0.00535988
415,0.992818,0.411932,0.326516,0.00428848
416,0.992865,0.381995,0.338024,0.00368574
417,0.992812,0.405718,0.389535,0.00240768
418,0.992812,0.405718,0.389535,0.00240768
419,0.992784,0.410607,0.339965,0.00245084
420,0.992749,0.417348,0.288328,0.00485941
421,0.992856,0.40467,0.324415,0.00534284
422,0.992874,0.445805,0.30204,0.00475884
423,0.992786,0.453668,0.295414,0.000940152
424,0.992783,0.456581,0.324393,0.00152569
425,0.992783,0.456581,0.324393,0.00152569
426,0.992658,0.446358,0.274952,0.00444906
427,0.992658,0.446358,0.274952,0.00444906
428,0.99275,0.461506,0.317632,0.00157695
429,0.99275,0.461506,0.317632,0.00157695
430,0.992826,0.473738,0.256678,0.00588123
431,0.992821,0.427178,0.259414,0.00405994
432,0.992742,0.43588,0.268371,0.00312788
433,0.992735,0.412868,0.277017,0.00724004
434,0.992682,0.423132,0.238658,0.00177588
435,0.992734,0.439,0.219826,0.00411304
436,0.992734,0.439,0.219826,0.00411304
437,0.992695,0.396854,0.216871,0.00210163
438,0.992692,0.41894,0.240839,0.00110674
439,0.992653,0.429499,0.214406,0.00212327
440,0.992731,0.424525,0.283029,0.000858385
441,0.992731,0.424525,0.283029,0.000858385
442,0.992725,0.463789,0.25578,0.00421798
443,0.992725,0.463789,0.25578,0.00421798
444,0.992705,0.401733,0.276333,0.00242573
445,0.992682,0.437633,0.295049,0.0020821
446,0.992619,0.397019,0.299143,0.00348238
447,0.992654,0.362425,0.316342,0.000885383
448,0.992675,0.356016,0.338351,0.00342058
449,0.992675,0.356016,0.338351,0.00342058
450,0.992675,0.356016,0.338351,0.00342058
451,0.992683,0.348449,0.323378,0.00364144
452,0.992683,0.348449,0.323378,0.00364144
453,0.992683,0.348449,0.323378,0.00364144
454,0.992683,0.348449,0.323378,0.00364144
455,0.992747,0.329087,0.308076,0.00657752
456,0.992747,0.329087,0.308076,0.00657752
457,0.992747,0.329087,0.308076,0.00657752
458,0.992731,0.385377,0.341552,0.00204494
459,0.99268,0.369235,0.314568,0.00476096
460,0.99268,0.369235,0.314568,0.00476096
461,0.992789,0.348151,0.319692,0.00646702
462,0.992692,0.345274,0.294954,0.00593043
463,0.992836,0.302936,0.308193,0.00564501
464,0.992836,0.302936,0.308193,0.00564501
465,0.992836,0.302936,0.308193,0.00564501
466,0.992835,0.344526,0.283103,0.00375857
467,0.992835,0.344526,0.283103,0.00375857
468,0.9929,0.317446,0.26732,0.00235121
469,0.9929,0.317446,0.26732,0.00235121
470,0.9929,0.317446,0.26732,0.00235121
