MDTU,|det-1|^2,1-Re(det),Im(det)
443,0.333908,0.417181,-8.68398e-05
444,0.329669,0.411905,0.000150665
445,0.329669,0.411905,0.000150665
446,0.326389,0.407236,0.000133305
447,0.326389,0.407236,0.000133305
448,0.325071,0.406842,0.00014668
449,0.307814,0.388938,-7.16122e-05
450,0.307814,0.388938,-7.16122e-05
451,0.332331,0.410974,6.84777e-06
452,0.332331,0.410974,6.84777e-06
453,0.337378,0.406186,-0.000156208
454,0.332361,0.432308,7.20648e-05
455,0.332361,0.432308,7.20648e-05
456,0.332361,0.432308,7.20648e-05
457,0.347272,0.441617,-0.000238794
458,0.347272,0.441617,-0.000238794
459,0.347272,0.441617,-0.000238794
460,0.32561,0.395506,-0.000517952
461,0.337035,0.418619,-6.90884e-06
462,0.32812,0.404448,-0.000196518
463,0.311594,0.393692,4.36179e-05
464,0.311594,0.393692,4.36179e-05
465,0.311594,0.393692,4.36179e-05
466,0.311594,0.393692,4.36179e-05
467,0.300711,0.404303,8.55047e-05
468,0.296934,0.407578,-2.63095e-05
469,0.302676,0.361776,-0.000162939
470,0.302676,0.361776,-0.000162939
471,0.300892,0.353258,-9.12837e-05
472,0.30143,0.372904,-6.12116e-05
473,0.30143,0.372904,-6.12116e-05
474,0.313706,0.398651,-0.0002817
475,0.31123,0.413098,-0.000171179
476,0.31123,0.413098,-0.000171179
477,0.299594,0.367284,-0.000186633
478,0.299594,0.367284,-0.000186633
479,0.299594,0.367284,-0.000186633
480,0.315472,0.383576,0.000223607
481,0.315472,0.383576,0.000223607
482,0.315472,0.383576,0.000223607
483,0.300525,0.386785,-0.000396194
484,0.321961,0.373953,-0.000705317
485,0.295439,0.34727,7.21868e-05
486,0.302118,0.359185,-4.42661e-05
487,0.313338,0.359039,7.79874e-05
488,0.313338,0.359039,7.79874e-05
489,0.284607,0.338812,0.000281089
490,0.284607,0.338812,0.000281089
491,0.300792,0.357381,2.09999e-05
492,0.300792,0.357381,2.09999e-05
493,0.298952,0.348205,-0.000574606
494,0.303235,0.354169,-0.000214162
495,0.303318,0.371035,-0.000352683
496,0.333062,0.379679,7.90881e-05
497,0.332724,0.373952,-0.000141585
498,0.334587,0.371637,5.56341e-05
499,0.316632,0.387183,-8.55042e-05
500,0.301058,0.399995,2.23796e-05
501,0.293332,0.421661,6.08722e-05
502,0.293332,0.421661,6.08722e-05
503,0.293332,0.421661,6.08722e-05
504,0.314509,0.43866,-0.000146128
505,0.314509,0.43866,-0.000146128
506,0.304903,0.405553,-6.80893e-05
507,0.309472,0.421775,-0.000692355
508,0.31388,0.410331,-0.000220479
509,0.334308,0.415038,-5.40352e-05
510,0.347969,0.437627,0.000136519
511,0.340964,0.416761,-0.000465158
512,0.338419,0.407367,1.0218e-05
513,0.346658,0.392591,-0.000149624
514,0.341999,0.377734,-9.46884e-05
515,0.36058,0.397792,0.00011233
516,0.36058,0.397792,0.00011233
517,0.348983,0.344221,-1.71353e-05
518,0.330838,0.321934,-3.58082e-05
519,0.331236,0.315543,0.000177689
520,0.312502,0.328167,0.000490205
521,0.299396,0.313909,0.000155896
522,0.2868,0.303866,0.000561639
523,0.2868,0.303866,0.000561639
524,0.315343,0.265523,4.8601e-06
525,0.310009,0.248634,0.000153198
526,0.303187,0.241649,0.000212622
527,0.303187,0.241649,0.000212622
528,0.303187,0.241649,0.000212622
529,0.303187,0.241649,0.000212622
530,0.303187,0.241649,0.000212622
531,0.308493,0.25515,0.000424649
532,0.308493,0.25515,0.000424649
533,0.28905,0.258694,-7.48789e-06
534,0.28905,0.258694,-7.48789e-06
535,0.28905,0.258694,-7.48789e-06
536,0.274197,0.271622,0.000530944
537,0.311791,0.328344,0.000369597
538,0.311791,0.328344,0.000369597
539,0.304493,0.293973,0.000199853
540,0.292502,0.277792,-0.000354228
541,0.3113,0.272322,9.34461e-05
542,0.308045,0.289143,0.000221437
543,0.327551,0.272752,-0.000210398
544,0.327551,0.272752,-0.000210398
545,0.327551,0.272752,-0.000210398
546,0.327551,0.272752,-0.000210398
547,0.327551,0.272752,-0.000210398
548,0.327551,0.272752,-0.000210398
549,0.316036,0.293798,0.000543796
550,0.319484,0.303955,-0.00020353
551,0.309982,0.313494,0.000137597
552,0.299094,0.309221,0.000326231
553,0.301811,0.328875,0.000184124
554,0.32341,0.312044,0.000193621
555,0.32341,0.312044,0.000193621
556,0.288478,0.304561,-0.000378742
557,0.304862,0.301157,7.7103e-05
558,0.300971,0.294582,-0.000284217
559,0.329105,0.319095,0.000257081
560,0.314433,0.279355,0.000382175
561,0.33013,0.301725,3.94085e-05
562,0.333397,0.282954,0.000670086
563,0.316441,0.317427,0.000448726
564,0.316441,0.317427,0.000448726
565,0.316441,0.317427,0.000448726
566,0.289442,0.308345,-0.000124686
567,0.278513,0.31057,0.000743974
568,0.278292,0.307034,0.000443612
569,0.278292,0.307034,0.000443612
570,0.270406,0.302147,0.000192197
571,0.266507,0.288831,3.43782e-05
572,0.263211,0.338627,-1.58529e-05
573,0.260247,0.334292,-0.000564304
574,0.250708,0.324214,-0.000447666
575,0.250708,0.324214,-0.000447666
576,0.262013,0.325763,-0.000144365
577,0.266407,0.341987,8.78869e-05
578,0.266407,0.341987,8.78869e-05
579,0.266407,0.341987,8.78869e-05
580,0.27857,0.386337,-0.000123198
581,0.267,0.353117,6.95528e-06
582,0.267,0.353117,6.95528e-06
583,0.272665,0.353308,-5.47536e-05
584,0.264811,0.335151,3.18031e-05
585,0.264015,0.363456,0.000142495
586,0.259452,0.329281,0.000223261
587,0.252328,0.302754,0.000497938
588,0.252328,0.302754,0.000497938
589,0.270437,0.320379,-0.00010053
590,0.288159,0.358744,-0.000111956
591,0.288159,0.358744,-0.000111956
592,0.298805,0.339167,-0.000165364
593,0.298805,0.339167,-0.000165364
594,0.308639,0.330219,0.00017918
595,0.30065,0.329947,0.000335021
596,0.317108,0.35279,-0.000515775
597,0.317108,0.35279,-0.000515775
598,0.317108,0.35279,-0.000515775
599,0.317498,0.304313,-0.00031345
600,0.320231,0.320866,-0.000250368
601,0.33043,0.334467,-0.000625405
602,0.33043,0.334467,-0.000625405
603,0.312449,0.371371,-0.000270547
604,0.297938,0.331865,-9.66706e-05
605,0.297938,0.331865,-9.66706e-05
606,0.336988,0.346038,-0.000233397
607,0.314968,0.305702,-0.000217875
608,0.321805,0.348745,-0.000231382
609,0.312627,0.37283,-5.3872e-05
610,0.296964,0.330802,-0.000350571
611,0.285632,0.350534,-0.000246899
612,0.298142,0.35147,0.000418933
613,0.326365,0.38624,-0.000352107
614,0.313798,0.385448,7.11926e-05
615,0.313287,0.359899,-0.000132067
616,0.313287,0.359899,-0.000132067
617,0.317461,0.393509,0.000149171
618,0.320596,0.401686,-9.40949e-05
619,0.322726,0.405512,0.000402669
620,0.313144,0.385951,-0.000175654
621,0.300406,0.378264,-0.000111373
622,0.300406,0.378264,-0.000111373
623,0.300406,0.378264,-0.000111373
624,0.300406,0.378264,-0.000111373
625,0.300406,0.378264,-0.000111373
626,0.308143,0.373709,-3.2588e-05
627,0.297103,0.378459,-0.000428739
628,0.276833,0.393997,-9.77533e-05
629,0.27938,0.382415,-0.000174997
630,0.283582,0.380823,9.74361e-05
631,0.296123,0.387718,-0.000390644
632,0.284443,0.40027,-0.00022788
633,0.284443,0.40027,-0.00022788
634,0.284443,0.40027,-0.00022788
635,0.284443,0.40027,-0.00022788
636,0.270702,0.378826,-0.001198
637,0.288794,0.37105,-9.23079e-05
638,0.296276,0.389204,1.11105e-05
639,0.321986,0.368521,-0.000163416
640,0.321986,0.368521,-0.000163416
641,0.337902,0.407866,0.00047449
642,0.333402,0.384176,-0.000640964
643,0.319227,0.392167,0.000491629
644,0.298955,0.386685,0.000433657
645,0.307042,0.408391,0.000477983
646,0.307042,0.408391,0.000477983
647,0.302778,0.400839,0.000347894
648,0.302778,0.400839,0.000347894
649,0.285496,0.373024,-0.000615638
650,0.305265,0.393854,-0.000353634
651,0.325748,0.386594,-0.000111225
652,0.313948,0.391612,-0.000271928
653,0.326999,0.407922,-7.42457e-05
654,0.330456,0.399574,0.000192577
655,0.327831,0.388568,0.000465756
656,0.331314,0.418471,0.000258713
657,0.357174,0.421889,2.09018e-05
658,0.345149,0.431939,-0.000234749
659,0.345149,0.431939,-0.000234749
660,0.339278,0.411979,0.0002481
661,0.339278,0.411979,0.0002481
662,0.339804,0.432119,-0.000320927
663,0.353521,0.415956,-0.000586127
664,0.341657,0.422103,0.000153948
665,0.341657,0.422103,0.000153948
666,0.333986,0.388046,0.000405236
667,0.343608,0.37947,-0.000227033
668,0.334366,0.379217,0.000163801
669,0.334865,0.353452,-0.000118342
670,0.332603,0.356249,0.000154771
671,0.332008,0.416969,0.000396444
672,0.345763,0.410923,0.000434667
