ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.690118,null,null,0.648935,null
-0.331898,null,null,null,-0.543817
0.936658,-0.45891,null,null,null
0.857135,null,-0.44138,null,null
0.664793,null,null,0.636933,null
0.26665,null,null,null,-0.770892
0.938335,-0.518267,null,null,null
0.85317,null,-0.401753,null,null
0.68291,null,null,0.625073,null
-0.217992,null,null,null,-0.796748
0.913485,-0.509785,null,null,null
0.816645,null,-0.401247,null,null
0.704117,null,null,0.662658,null
0.231682,null,null,null,-0.499767
0.913485,-0.509785,null,null,null
0.816645,null,-0.401247,null,null
0.704117,null,null,0.662658,null
0.231682,null,null,null,-0.499767
0.966873,-0.536497,null,null,null
0.829412,null,-0.388143,null,null
0.696,null,null,0.607633,null
0.0768463,null,null,null,-0.475985
0.936403,-0.513475,null,null,null
0.85168,null,-0.412905,null,null
0.682305,null,null,0.581505,null
0.268235,null,null,null,-0.356577
0.965325,-0.496827,null,null,null
0.86332,null,-0.41369,null,null
0.693285,null,null,0.573322,null
0.0545585,null,null,null,-0.243222
0.965325,-0.496827,null,null,null
0.86332,null,-0.41369,null,null
0.693285,null,null,0.573322,null
0.0545585,null,null,null,-0.243222
0.965325,-0.496827,null,null,null
0.86332,null,-0.41369,null,null
0.693285,null,null,0.573322,null
0.0545585,null,null,null,-0.243222
0.950128,-0.443333,null,null,null
0.86126,null,-0.41987,null,null
0.674025,null,null,0.565255,null
0.0584267,null,null,null,-0.444925
0.97,-0.464473,null,null,null
0.826085,null,-0.39221,null,null
0.71808,null,null,0.626308,null
0.0067022,null,null,null,-0.236704
1.01258,-0.454877,null,null,null
0.829967,null,-0.386393,null,null
0.67054,null,null,0.601845,null
-0.0766005,null,null,null,-0.284963
1.02466,-0.455425,null,null,null
0.821975,null,-0.39296,null,null
0.710133,null,null,0.606243,null
-0.458803,null,null,null,-0.547092
0.955475,-0.408687,null,null,null
0.824447,null,-0.424627,null,null
0.733753,null,null,0.57328,null
0.344293,null,null,null,-0.706252
0.960202,-0.397097,null,null,null
0.8034,null,-0.389425,null,null
0.737313,null,null,0.575667,null
