t,e^(-dS)
1099,0.387283
1100,0.560234
1101,0.473786
1102,0.408322
1103,0.615513
1104,2.34973
1105,0.538213
1106,1.20382
1107,0.631284
1108,3.45216
1109,0.406854
1110,1.01418
1111,1.04277
1112,0.7403
1113,0.721877
1114,0.271987
1115,1.36697
1116,1.58265
1117,0.590492
1118,1.83253
1119,0.781766
1120,0.853082
1121,0.674624
1122,3.33342
1123,0.548373
1124,0.287653
1125,0.804849
1126,0.402685
1127,0.808075
1128,0.886832
1129,0.92741
1130,0.826959
1131,0.917613
1132,0.503586
1133,0.385544
1134,0.468556
1135,1.3279
1136,1.91458
1137,0.671461
1138,1.16253
1139,0.809774
1140,1.13043
1141,0.914434
1142,3.23814
1143,0.760941
1144,1.00483
1145,0.495544
1146,1.40144
1147,0.527714
1148,0.512272
1149,0.333871
1150,0.73646
1151,0.819304
1152,1.21058
1153,0.790492
1154,0.992067
1155,0.738008
1156,0.973459
1157,0.771206
1158,0.642171
1159,1.77323
1160,1.12671
1161,1.43032
1162,1.22006
1163,0.293464
1164,1.6598
1165,0.704688
1166,0.500124
1167,0.51991
1168,1.83272
1169,0.451356
1170,0.719859
1171,0.848997
1172,2.08486
1173,0.582457
1174,0.613117
1175,1.61301
1176,0.981179
1177,2.06019
1178,0.656718
1179,1.46287
1180,0.970572
1181,1.06712
1182,1.29473
1183,1.71738
1184,1.788
1185,0.752165
1186,0.980454
1187,0.426135
1188,0.901766
1189,0.497032
1190,1.7409
1191,1.50005
1192,0.868316
1193,0.503989
1194,1.00631
1195,1.49332
1196,1.26074
1197,2.91247
1198,0.282804
1199,0.827704
1200,2.10918
1201,0.157867
1202,2.97725
1203,0.334874
1204,1.29563
1205,0.61012
1206,2.84909
1207,0.333871
1208,0.913776
1209,0.594996
1210,1.80507
1211,0.714623
1212,2.36837
1213,0.448745
1214,1.43994
1215,0.548592
1216,1.87667
1217,0.956428
1218,0.564734
1219,2.98321
1220,0.354517
1221,1.39864
1222,0.501777
1223,0.496337
1224,0.873891
1225,1.16672
1226,0.912233
1227,0.654686
1228,0.649664
1229,2.34363
1230,1.09988
1231,1.35459
1232,0.708008
1233,1.44138
1234,0.986837
1235,0.741634
1236,1.23171
1237,0.905734
1238,0.645261
1239,0.784115
1240,1.163
1241,0.760788
1242,1.39306
1243,0.70321
1244,2.60439
1245,0.374824
1246,0.856244
1247,0.536601
1248,0.35808
1249,0.635718
1250,0.413334
1251,0.55973
1252,0.559674
1253,0.495147
1254,0.69274
1255,0.579726
1256,1.0648
1257,0.401479
1258,1.21446
1259,2.15696
1260,0.69677
1261,0.869793
1262,1.76827
1263,1.45194
1264,0.600015
1265,1.59201
1266,0.478356
1267,0.930326
1268,1.10993
1269,1.42305
1270,0.597859
1271,1.01715
1272,1.09264
1273,0.568758
1274,2.23446
1275,0.391645
1276,0.258981
1277,1.0947
1278,1.55038
1279,1.41114
1280,0.521785
1281,0.424264
1282,0.695934
1283,0.79366
1284,0.745351
1285,0.816115
1286,0.660208
1287,1.14878
1288,0.987035
1289,1.10794
1290,1.35622
1291,0.625065
1292,0.786392
1293,0.929471
1294,0.433614
1295,0.99806
1296,0.57597
1297,1.21811
1298,0.538267
1299,0.331211
1300,2.50378
1301,0.323033
1302,0.43863
1303,0.1585
1304,0.635019
1305,0.659812
1306,1.2497
1307,0.760408
1308,1.46068
1309,0.577816
1310,0.257947
1311,0.31918
1312,0.72325
1313,1.47315
1314,0.983537
1315,0.566941
1316,1.4826
1317,0.354517
1318,0.378969
1319,0.42367
1320,0.148823
1321,0.353455
1322,0.53478
1323,1.22986
1324,0.620767
1325,0.568531
1326,4.11649
1327,0.723612
1328,0.41778
1329,1.31745
1330,1.32671
1331,0.920103
1332,0.137243
1333,0.506364
1334,0.779814
1335,0.218057
1336,0.431581
1337,1.40214
1338,1.45252
1339,0.893687
1340,0.308202
1341,0.660803
1342,1.26871
1343,1.87274
1344,0.332206
1345,2.385
1346,1.35161
1347,0.968468
1348,1.5757
1349,1.1221
1350,0.396373
1351,0.444058
1352,1.82376
1353,1.66463
1354,0.852826
1355,0.729351
1356,1.34905
1357,1.84744
1358,0.685505
1359,1.3719
1360,1.26947
1361,0.56927
1362,1.57822
1363,0.707371
1364,2.15351
1365,0.647588
1366,1.34622
1367,1.39752
1368,1.0071
1369,0.418575
1370,1.02681
1371,0.629707
1372,2.03054
1373,0.562761
1374,1.25282
1375,0.591378
1376,2.41259
1377,0.570752
1378,0.897987
1379,0.737713
1380,0.834519
1381,1.77606
1382,0.780282
1383,0.477019
1384,0.607441
1385,1.56753
1386,1.9658
1387,0.954746
1388,0.973498
1389,1.27418
1390,1.13701
1391,1.03986
1392,1.43965
1393,0.359874
1394,0.617053
1395,1.18803
1396,1.4975
1397,0.838786
1398,0.870141
1399,1.25948
1400,1.55628
1401,1.02164
1402,0.416695
1403,1.4887
1404,0.668178
1405,0.851292
1406,0.775071
1407,0.405757
1408,0.96839
1409,0.640824
1410,1.46053
1411,0.978984
1412,1.97902
1413,0.642428
1414,0.897628
1415,0.434265
1416,0.723829
1417,0.848827
1418,0.588605
1419,1.18863
1420,1.12671
1421,0.779268
1422,1.0812
1423,2.14149
1424,0.812532
1425,1.99192
1426,0.222684
1427,1.27839
1428,0.591555
1429,0.766439
1430,1.32565
1431,0.709993
1432,0.693225
1433,0.399037
1434,3.01922
1435,0.849846
1436,1.00598
1437,0.925001
1438,0.857015
1439,0.549581
1440,0.928291
1441,1.88193
1442,1.68506
1443,0.498526
1444,0.510023
1445,1.36971
1446,0.285647
1447,1.47713
1448,0.212673
1449,0.553995
1450,1.40706
1451,0.818731
1452,0.408199
1453,1.03718
1454,1.04378
1455,1.67917
1456,0.896103
1457,0.715267
1458,0.73374
1459,1.26807
1460,0.565582
1461,1.25759
1462,0.596307
1463,2.07446
1464,0.220248
1465,1.24321
1466,0.418449
1467,0.844509
1468,1.41397
1469,0.526871
1470,0.590137
1471,1.36016
1472,1.4134
1473,0.662656
1474,1.34125
1475,1.61107
1476,0.611953
1477,1.18424
1478,1.08262
1479,2.74286
1480,0.56513
1481,0.720867
1482,0.306358
1483,0.600436
1484,0.558836
1485,1.10264
1486,0.696282
1487,0.734254
1488,1.49735
1489,0.373514
1490,0.255636
1491,2.21311
1492,0.747217
1493,0.631789
1494,2.00091
1495,0.610364
1496,1.02249
1497,1.00015
1498,0.402041
1499,0.926835
1500,0.594461
1501,0.321422
1502,1.00085
1503,3.10806
1504,0.316954
1505,1.18436
1506,0.984885
1507,0.193013
1508,0.879062
1509,1.08027
1510,0.8424
1511,0.875115
1512,1.77891
1513,1.44745
1514,0.884441
1515,0.404097
1516,0.586842
1517,2.27869
1518,1.58344
1519,0.740374
1520,0.420336
1521,1.69961
1522,1.24857
1523,0.983665
1524,0.958649
1525,1.49138
1526,1.29447
1527,0.409794
1528,0.360235
1529,0.616745
1530,1.5633
1531,1.09934
1532,0.329889
1533,1.29072
1534,0.299093
1535,1.01253
1536,0.57851
1537,0.626379
1538,2.03277
1539,0.413499
1540,1.04864
1541,0.449734
1542,0.404097
1543,2.9183
1544,0.644939
1545,0.427244
1546,0.793105
1547,1.32578
1548,0.616313
1549,1.39948
1550,1.3678
1551,0.468696
1552,0.743341
1553,0.401198
1554,1.0048
1555,1.2682
1556,1.15951
1557,0.315373
1558,0.606227
1559,1.28415
1560,0.552722
1561,1.27188
1562,0.265803
1563,0.46776
1564,0.810503
1565,2.10728
1566,0.610852
1567,0.605258
1568,1.72547
1569,0.603566
1570,1.6913
1571,0.933513
1572,2.13742
1573,0.654031
1574,0.371502
1575,0.484761
1576,1.38057
1577,2.21488
1578,1.14339
1579,0.629141
1580,0.46052
1581,0.32726
1582,0.693087
1583,1.08621
1584,0.718996
1585,0.59577
1586,1.2472
1587,0.887364
1588,1.98794
1589,0.650704
1590,2.33287
1591,0.810098
1592,0.86088
1593,0.69385
1594,0.594521
1595,1.78211
1596,1.75927
1597,0.441667
1598,1.55706
1599,3.1174
1600,0.234805
1601,0.554272
1602,0.388408
1603,0.885945
1604,0.962212
1605,0.724988
1606,1.52135
1607,0.707796
1608,0.842822
1609,1.84172
1610,1.72616
1611,0.575797
1612,0.620953
1613,0.375048
1614,0.607502
1615,2.58623
1616,0.158976
1617,0.392311
1618,0.995243
1619,0.793422
1620,0.76805
1621,2.40969
1622,0.656587
1623,0.322388
1624,0.486606
1625,0.284791
1626,0.955558
1627,1.17011
1628,0.52819
1629,0.452847
1630,0.387322
1631,0.760028
1632,0.818976
1633,0.794851
1634,0.657178
1635,0.274172
1636,0.827621
1637,1.12862
1638,0.718924
1639,0.722744
1640,3.08022
1641,0.470669
1642,0.42686
1643,0.181954
1644,0.861741
1645,2.98619
1646,1.1853
1647,0.499524
1648,1.03469
1649,0.983242
1650,1.32512
1651,0.367512
1652,1.04497
1653,0.949414
1654,1.12423
1655,1.26238
1656,0.541777
1657,2.38882
1658,0.398519
1659,1.05152
1660,1.13383
1661,0.701173
1662,0.764296
1663,1.26263
1664,0.521472
1665,0.736902
1666,0.412013
1667,0.399357
1668,1.04258
1669,1.9098
1670,1.2586
1671,1.92264
1672,1.24433
1673,1.18566
1674,2.02364
1675,2.17603
1676,0.373663
1677,0.830938
1678,0.875378
1679,1.58677
1680,0.362402
1681,2.03623
1682,0.737566
1683,0.768896
1684,1.52776
1685,1.0118
1686,0.995888
1687,0.571209
1688,0.96202
1689,1.13553
1690,0.335545
1691,1.22703
1692,1.06779
1693,0.397286
1694,1.1977
1695,0.574819
