ReTr(L),ImTr(L)
0.0410895,0.0206726
0.0422428,0.0202106
0.04232,0.0223109
0.04232,0.0223109
0.04232,0.0223109
0.04232,0.0223109
0.045954,0.0175323
0.045954,0.0175323
0.045954,0.0175323
0.042879,0.0222259
0.0513217,0.0192938
0.0496025,0.0197223
0.0482462,0.0163063
0.0482462,0.0163063
0.0482462,0.0163063
0.0501728,0.0166118
0.043738,0.02292
0.037964,0.0256087
0.049323,0.0168844
0.051323,0.02263
0.0412228,0.0146725
0.0396955,0.022239
0.045899,0.0173437
0.045899,0.0173437
0.0445513,0.0140096
0.0390275,0.0172153
0.0390275,0.0172153
0.0406557,0.0189834
0.0366295,0.0220145
0.0362585,0.0194481
0.0375425,0.0174336
0.0429657,0.023101
0.0429657,0.023101
0.0397615,0.0194103
0.0397615,0.0194103
0.0397615,0.0194103
0.0385913,0.015901
0.0385913,0.015901
0.0450948,0.0133939
0.042214,0.0151819
0.042214,0.0151819
0.035507,0.0134649
0.035507,0.0134649
0.0386525,0.0150352
0.0386525,0.0150352
0.0383877,0.00721238
0.0397235,0.0137118
0.0480225,0.01231
0.0480225,0.01231
0.0480778,0.00584548
0.0459895,0.0139017
0.0444768,0.0101193
0.0444768,0.0101193
0.0444768,0.0101193
0.0425165,0.0137225
0.0480522,0.0145065
0.0500823,0.0131573
0.0454823,0.006828
0.0410683,0.0173437
0.045302,0.0160051
0.0468037,0.0126176
0.042953,0.011781
0.046694,0.0148517
0.044235,0.0169711
0.044235,0.0169711
0.0489062,0.0140896
0.0480503,0.0141173
0.0452975,0.0161758
0.0490117,0.0145176
0.0490117,0.0145176
0.0575635,0.00889943
0.0486453,0.0129054
0.0438967,0.014983
0.0424693,0.0172398
0.0424693,0.0172398
0.0520785,0.0134696
0.0464765,0.0153137
0.045619,0.0145199
0.0430372,0.01822
0.0506055,0.0177111
0.0415592,0.0154289
0.0416,0.0089288
0.0376952,0.0115528
0.0497335,0.0165342
0.0426565,0.016047
0.0426565,0.016047
0.0423475,0.0167061
0.0485607,0.0147621
0.0437068,0.0119919
0.0380705,0.0115157
0.0366368,0.0206661
0.0470855,0.0107342
0.0472192,0.014128
0.041781,0.0123333
0.0466263,0.0122756
0.0466263,0.0122756
0.0418915,0.0103374
0.0449068,0.0153982
0.0415398,0.0083033
0.0479615,0.0143038
0.045474,0.0131903
0.045474,0.0131903
0.0448428,0.0124146
0.042772,0.0117991
0.040334,0.0156612
0.031741,0.0122632
0.0360232,0.0169032
0.037692,0.0147454
0.0348048,0.0142989
0.0348048,0.0142989
0.0338113,0.0160367
0.0349565,0.0170455
0.0387625,0.0185342
0.042886,0.0124549
0.041068,0.00960412
0.039865,0.0109886
0.0415273,0.0140129
0.0383102,0.0133391
0.0383102,0.0133391
0.0368272,0.00851815
0.0300855,0.0169653
0.0300855,0.0169653
0.0300855,0.0169653
0.0374865,0.0122631
