ReTr(L),ImTr(L)
1.88184,0.225506
1.88184,0.225506
1.88184,0.225506
1.88184,0.225506
1.86147,0.262885
1.85067,0.275549
1.92705,0.292703
1.96279,0.370844
2.06012,0.38863
2.01785,0.400133
1.95689,0.414946
1.97671,0.417338
1.94413,0.463607
1.94413,0.463607
1.95647,0.489486
1.93704,0.466807
1.93342,0.526655
1.94124,0.52973
1.90753,0.529884
1.85075,0.64035
1.85981,0.606517
1.95709,0.552244
2.02184,0.490775
2.0587,0.473162
2.05615,0.413367
2.11695,0.471423
2.06689,0.490827
1.95163,0.434149
1.96466,0.45834
1.96466,0.45834
1.96466,0.45834
1.96466,0.45834
1.88706,0.438523
1.88706,0.438523
1.88706,0.438523
1.84891,0.335774
1.82578,0.367781
1.85793,0.432664
1.93878,0.409893
1.98671,0.529958
1.91776,0.504116
1.83904,0.562644
1.83904,0.562644
1.9121,0.569465
1.94004,0.56809
1.94004,0.56809
1.94004,0.56809
1.94004,0.56809
1.94004,0.56809
1.90193,0.608366
1.90193,0.608366
1.93905,0.597211
1.93905,0.597211
1.88953,0.613372
1.8532,0.650019
1.81091,0.593426
1.81091,0.593426
1.81091,0.593426
1.84639,0.60572
1.84639,0.60572
1.77687,0.746371
1.77936,0.677259
1.67894,0.557042
1.67894,0.557042
1.71425,0.554125
1.71396,0.554315
1.71396,0.554315
1.68924,0.501785
1.6981,0.560558
1.71498,0.553656
1.71498,0.553656
1.77237,0.654731
1.77758,0.675185
1.77758,0.675185
1.75276,0.695653
1.7418,0.672701
1.7418,0.672701
1.75428,0.666336
1.78982,0.646665
1.78982,0.646665
1.79965,0.626831
1.81999,0.597785
1.76028,0.563244
1.77665,0.543588
1.77665,0.543588
1.79565,0.52292
1.86965,0.540907
1.77348,0.555701
1.7955,0.634603
1.85701,0.543965
1.85701,0.543965
1.85701,0.543965
1.85701,0.543965
1.81414,0.51151
1.81414,0.51151
1.81414,0.51151
1.78534,0.609949
1.78025,0.583893
1.76862,0.527427
1.76862,0.527427
1.81644,0.570476
1.81644,0.570476
1.81644,0.570476
1.81644,0.570476
1.81644,0.570476
1.81644,0.570476
1.76266,0.569961
1.76266,0.569961
1.7403,0.526949
1.69958,0.544393
1.64588,0.614088
1.65175,0.596112
1.65175,0.596112
1.65247,0.610308
1.66922,0.563818
1.6892,0.621077
1.6892,0.621077
1.6892,0.621077
1.73815,0.683054
1.73815,0.683054
1.7051,0.72753
1.69649,0.718768
1.69649,0.718768
1.69649,0.718768
1.69649,0.718768
1.69649,0.718768
1.62071,0.691734
1.69898,0.68812
1.69898,0.68812
1.64859,0.694862
1.66826,0.664813
1.66826,0.664813
1.66826,0.664813
1.70332,0.647146
1.70332,0.647146
1.73934,0.569181
1.73053,0.490715
1.73053,0.490715
1.70281,0.450212
1.7199,0.528405
1.7199,0.528405
1.7213,0.523472
1.70128,0.525654
1.69787,0.5181
1.71661,0.58241
1.66093,0.630041
1.66093,0.630041
1.66093,0.630041
1.72592,0.663632
1.6894,0.659751
1.64259,0.785568
1.63494,0.822026
1.59164,0.849216
1.59164,0.849216
1.59164,0.849216
1.51608,0.993613
1.56342,1.03123
1.56342,1.03123
1.56342,1.03123
1.57673,1.02769
1.57673,1.02769
1.5127,1.00052
1.4495,1.07082
1.49708,1.05439
1.49708,1.05439
1.47968,0.998554
1.45483,1.04834
1.44055,1.08659
1.42425,1.13971
1.51108,1.15886
1.45883,1.22846
1.42705,1.2495
1.35907,1.24295
1.39508,1.20073
1.39508,1.20073
1.50018,1.26197
1.54285,1.2174
1.51917,1.30757
1.56074,1.34279
1.5121,1.34534
1.44949,1.34567
1.49927,1.33275
1.54905,1.24101
1.54905,1.24101
1.58067,1.34179
1.58642,1.28427
1.54293,1.32345
1.5367,1.31589
1.52985,1.20692
1.5539,1.22224
1.4888,1.13926
1.53647,1.1286
1.46455,1.16666
1.5924,1.20397
1.54602,1.29803
1.5196,1.25258
1.51637,1.19976
1.51637,1.19976
1.47739,1.18896
1.47739,1.18896
1.49993,1.18485
1.47537,1.26442
1.47537,1.26442
1.54514,1.24157
1.54514,1.24157
1.48246,1.34661
1.48246,1.34661
1.59945,1.26633
1.55093,1.20841
1.55093,1.20841
1.55093,1.20841
1.66989,1.19323
1.66989,1.19323
1.72739,1.15611
1.68991,1.08613
1.8354,0.978334
1.72117,1.02781
1.71148,1.05006
1.62959,1.11191
1.62959,1.11191
1.62959,1.11191
1.62959,1.11191
1.63045,1.07376
1.63045,1.07376
1.57762,1.21427
1.61566,1.13819
1.61566,1.13819
1.6037,1.14525
1.61672,1.17975
1.61672,1.17975
1.61672,1.17975
1.63705,1.16148
1.68205,1.2071
1.68205,1.2071
1.68205,1.2071
1.68205,1.2071
1.68205,1.2071
1.61944,1.23813
1.61944,1.23813
1.61944,1.23813
1.63573,1.232
1.56905,1.23803
1.56905,1.23803
1.56693,1.27261
1.55936,1.27635
1.58441,1.23738
1.60457,1.31352
1.5959,1.3617
1.54144,1.32707
1.54245,1.29958
1.52973,1.26375
1.54782,1.19739
1.54782,1.19739
1.4961,1.21752
1.40143,1.30387
1.36958,1.36585
1.32045,1.34593
1.37881,1.29502
1.30833,1.38422
1.30238,1.32048
1.30238,1.32048
1.25554,1.31575
1.3345,1.27657
1.3345,1.27657
1.35299,1.30119
1.34304,1.18119
1.28406,1.25679
1.28406,1.25679
1.28019,1.21592
1.33712,1.19891
1.32936,1.22778
1.33852,1.2585
1.30074,1.26483
1.26388,1.31199
1.2569,1.22174
1.2569,1.22174
1.2569,1.22174
1.26844,1.22903
1.26844,1.22903
1.26844,1.22903
1.29943,1.26964
1.26989,1.25784
1.28667,1.24308
1.28667,1.24308
1.20355,1.32613
1.18908,1.25211
1.15222,1.29381
1.09707,1.28707
1.09707,1.28707
1.09129,1.31367
1.1557,1.23301
1.22898,1.23539
1.23112,1.26676
1.32242,1.32541
1.34814,1.30975
1.28994,1.36573
1.28994,1.36573
1.29177,1.26752
1.30614,1.24812
1.30614,1.24812
1.30614,1.24812
1.32613,1.2226
1.32613,1.2226
1.32613,1.2226
1.37657,1.17241
1.32947,1.12215
1.32947,1.12215
1.37518,1.10084
1.38173,1.04216
1.41405,1.06566
1.39644,1.03821
1.42698,1.08405
1.42698,1.08405
1.40693,1.06316
1.40693,1.06316
1.42362,1.04139
1.42932,0.940924
1.42932,0.940924
1.44985,0.862536
1.4981,0.841426
1.4981,0.841426
1.46655,0.836935
1.50631,0.827456
1.50631,0.827456
1.61511,0.763357
1.6133,0.911626
1.68946,0.949176
1.68946,0.949176
1.66274,0.833555
1.73467,0.817582
1.73467,0.817582
1.69837,0.801803
1.67447,0.782898
1.67179,0.711713
1.65128,0.721198
1.65128,0.721198
1.62382,0.651982
1.62382,0.651982
1.60498,0.623776
1.59788,0.663025
1.62506,0.602931
1.62506,0.602931
1.66486,0.563479
1.67736,0.581459
1.71986,0.671373
1.69762,0.757397
1.69863,0.740444
1.66332,0.773076
1.66332,0.773076
1.66332,0.773076
1.64613,0.67871
1.58083,0.788377
1.54474,0.83192
1.51315,0.767002
1.54013,0.758486
1.61582,0.761855
1.60303,0.801423
1.6909,0.731135
1.57683,0.686744
1.58808,0.68495
1.58808,0.68495
1.58808,0.68495
1.592,0.6663
1.65245,0.678212
1.69461,0.628989
1.66296,0.649975
1.67355,0.694395
1.63885,0.7637
1.67817,0.734498
1.63942,0.740333
1.63942,0.740333
1.63942,0.740333
1.63942,0.740333
1.68375,0.722842
1.68375,0.722842
1.6652,0.659732
1.63152,0.677636
1.60393,0.601593
1.6569,0.560059
1.71144,0.521179
1.69136,0.448222
1.69136,0.448222
1.73425,0.447955
1.69847,0.45547
1.69847,0.45547
1.69847,0.45547
1.70711,0.390055
1.64742,0.449515
1.64742,0.449515
1.64742,0.449515
1.71824,0.41889
1.72737,0.505563
1.72737,0.505563
1.72378,0.532907
1.71833,0.523767
1.7671,0.598671
1.68331,0.561563
1.61579,0.583188
1.63091,0.523772
1.64767,0.51051
1.64767,0.51051
1.64767,0.51051
1.64767,0.51051
1.64368,0.540481
1.65088,0.499129
1.65088,0.499129
1.65088,0.499129
1.61772,0.472602
1.66487,0.490193
1.66487,0.490193
1.65468,0.482543
1.62479,0.533221
1.5804,0.640118
1.57597,0.637778
1.57597,0.637778
1.57597,0.637778
1.60843,0.557752
1.60843,0.557752
1.58207,0.573872
1.58207,0.573872
1.63136,0.576824
1.63136,0.576824
1.62167,0.528458
1.58651,0.466126
1.61498,0.543819
1.57672,0.558883
1.6036,0.534782
1.55915,0.599737
1.55065,0.623451
1.55065,0.623451
1.55195,0.655775
1.54793,0.696883
1.5588,0.682438
1.57354,0.693867
1.58291,0.720211
1.48318,0.777723
1.48318,0.777723
1.48616,0.803414
1.48616,0.803414
1.50638,0.802779
